Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Austria,4750,4531,5056,4830,4414,4462,4400,4061,3631,,,,,,,
Belgium,11991,11017,12471,11887,12037,11258,12794,10702,9192,,,,,,,
Bulgaria,1915,1506,1550,1924,1677,976,,1256,2193,,,,,,,
Croatia,5624,5478,6858,,7157,7107,7537,7812,7858,,,,,,,
Cyprus,736,922,982,1120,842,871,798,1069,1023,,,,,,,
Czechia,,7283,4386,4363,4189,,,10108,9784,,,,,,,
Denmark,7383,6418,7661,7277,6700,,5626,6275,,,,,,,,
Estonia,485,388,,,,290,282,281,434,,,,,,,
Finland,427,475,521,676,710,663,656,644,1099,,,,,,,
France,,45717,53886,56845,58077,56482,62213,53299,54733,,,,,,,
Germany,44404,43147,42603,40242,54034,94467,93805,91811,88700,,,,,,,
Greece,3447,3295,3950,3698,4283,4314,4087,4740,4891,,,,,,,
Hungary,4283,4277,4579,4709,4813,4098,4308,4688,3985,,,,,,,
Ireland,10408,9368,10267,9899,8539,8954,9489,9523,8684,,,,,,,
Italy,33970,37424,38268,38630,46586,48586,47213,51955,57956,,,,,,,
Latvia,631,,,,811,879,751,830,1543,,,,,,,
Lithuania,465,572,806,1305,1697,2384,2549,2159,2209,,,,,,,
Luxembourg,190,201,381,306,179,265,290,271,289,,,,,,,
Malta,1990,1984,1943,1898,1845,1822,1829,1770,1834,,,,,,,
Netherlands,,,,,,,10987,10631,11129,,,,,,,
Norway,5839,5728,6068,5956,5729,5716,5908,8581,8412,,,,,,,
Poland,4749,4377,6483,6582,7084,6658,9013,7186,2759,,,,,,,
Portugal,3236,2740,3471,3461,3307,3294,3389,3753,4138,,,,,,,
Romania,3097,3440,4283,4266,3577,3544,3240,2622,1645,,,,,,,
Slovakia,2419,2437,3295,3038,3106,3253,2720,2483,2484,,,,,,,
Slovenia,210,128,186,219,244,269,316,419,290,,,,,,,
Spain,,38544,50035,47972,46799,45637,47308,48926,51946,49678,,,,,,
Sweden,32826,33247,34629,34850,30885,28584,30544,28057,1242,,,,,,,
TÃ¼rkiye,9353,8417,11112,11329,11633,,10884,10630,7265,,,,,,,
United Kingdom,,,116546,114752,118342,119973,124234,100456,101753,,,,,,,

